f,time,day
2315,9:45,1
2470,9:45,1
3380,9:45,1
6120,9:45,1
7285,9:45,1
9380,9:45,1
9460,9:45,1
9485,9:45,1
9510,9:45,1
9560,9:45,1
9620,9:45,1
9650,9:45,1
9750,9:45,1
9835,9:45,1
